City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,26.99,83,75,4.63,CC,2023-06-22
1,pariaman,-0.619,100.12,28.03,73,34,2.16,ID,2023-06-22
2,port-aux-francais,-49.35,70.2167,8.01,97,100,17.66,TF,2023-06-22
3,margaret river,-33.95,115.0667,12.6,62,86,9.54,AU,2023-06-22
4,cherdyn',60.403,56.4787,9.33,57,42,2.04,RU,2023-06-22
5,nicoya,10.1483,-85.452,24.76,91,100,1.34,CR,2023-06-22
6,afaahiti,-17.75,-149.2833,26.93,83,99,10.63,PF,2023-06-22
7,ochsenhausen,48.0667,9.95,16.8,90,75,5.14,DE,2023-06-22
8,ad dabbah,18.05,30.95,27.63,20,28,3.96,SD,2023-06-22
9,fortuna,40.5982,-124.1573,14.4,91,100,3.09,US,2023-06-22
10,ust-nera,64.5667,143.2,23.42,27,89,2.01,RU,2023-06-22
11,adamstown,-25.066,-130.1015,20.51,54,27,9.26,PN,2023-06-22
12,karratha,-20.7377,116.8463,20.83,32,3,5.45,AU,2023-06-22
13,malayer,34.2969,48.8235,22.19,19,0,0.85,IR,2023-06-22
14,pointe-noire,-4.7761,11.8635,20.95,88,76,1.73,CG,2023-06-22
15,tonghae,37.5439,129.1069,22.54,76,19,3.66,KR,2023-06-22
16,puerto natales,-51.7236,-72.4875,1.7,98,100,0.87,CL,2023-06-22
17,qaqortoq,60.7167,-46.0333,3.4,96,100,1.77,GL,2023-06-22
18,puerto ayora,-0.7393,-90.3518,24.75,90,94,1.79,EC,2023-06-22
19,argo,37.6333,22.7333,23.21,50,0,1.62,GR,2023-06-22
20,iqaluit,63.7506,-68.5145,4.85,65,75,4.63,CA,2023-06-22
21,georgetown,5.4112,100.3354,30.96,74,20,2.06,MY,2023-06-22
22,anadyr,64.75,177.4833,7.28,87,100,4.0,RU,2023-06-22
23,grytviken,-54.2811,-36.5092,0.96,82,100,3.41,GS,2023-06-22
24,ushuaia,-54.8,-68.3,0.81,86,75,3.6,AR,2023-06-22
25,portland,45.5234,-122.6762,28.97,37,20,4.12,US,2023-06-22
26,lorengau,-2.0226,147.2712,28.93,72,92,1.98,PG,2023-06-22
